game_id,kickoff,team,opponent,home_away,expected_qb,analytics_win_pct,market_win_pct,vegas_win_pct,spread,result
2026_03_ATL_GB,2026-09-24 20:15:00,GB,ATL,home,Jordan Love,75.9,68.9,67.5,-4.5,L
2026_03_ATL_GB,2026-09-24 20:15:00,ATL,GB,away,Michael Penix Jr.,24.1,31.1,32.5,4.5,W
2026_03_CAR_CLE,2026-09-27 13:00:00,CLE,CAR,home,Deshaun Watson,46.3,43.5,43.7,2.5,
2026_03_CAR_CLE,2026-09-27 13:00:00,CAR,CLE,away,Bryce Young,53.7,56.5,56.3,-2.5,
2026_03_CIN_PIT,2026-09-27 13:00:00,PIT,CIN,home,Aaron Rodgers,43.3,37.5,37.8,3.5,
2026_03_CIN_PIT,2026-09-27 13:00:00,CIN,PIT,away,Joe Burrow,56.7,62.5,62.2,-3.5,
2026_03_HOU_IND,2026-09-27 13:00:00,IND,HOU,home,Daniel Jones,46.4,46.6,46.8,1.5,
2026_03_HOU_IND,2026-09-27 13:00:00,HOU,IND,away,C.J. Stroud,53.6,53.4,53.2,-1.5,
2026_03_KC_MIA,2026-09-27 13:00:00,MIA,KC,home,Malik Willis,38.9,16.7,16.8,10.0,
2026_03_KC_MIA,2026-09-27 13:00:00,KC,MIA,away,Patrick Mahomes,61.1,83.3,83.2,-10.0,
2026_03_LAC_BUF,2026-09-27 13:00:00,BUF,LAC,home,Josh Allen,79.4,75.8,74.4,-7.0,
2026_03_LAC_BUF,2026-09-27 13:00:00,LAC,BUF,away,Justin Herbert,20.6,24.2,25.6,7.0,
2026_03_NE_JAX,2026-09-27 13:00:00,JAX,NE,home,Trevor Lawrence,56.5,58.6,58.3,-3.0,
2026_03_NE_JAX,2026-09-27 13:00:00,NE,JAX,away,Drake Maye,43.5,41.4,41.7,3.0,
2026_03_NYJ_DET,2026-09-27 13:00:00,DET,NYJ,home,Jared Goff,78.7,73.6,72.2,-6.5,
2026_03_NYJ_DET,2026-09-27 13:00:00,NYJ,DET,away,Geno Smith,21.3,26.4,27.8,6.5,
2026_03_SEA_WAS,2026-09-27 13:00:00,WAS,SEA,home,Marcus Mariota,24.6,22.4,23.4,7.5,
2026_03_SEA_WAS,2026-09-27 13:00:00,SEA,WAS,away,Sam Darnold,75.4,77.6,76.6,-7.5,
2026_03_TEN_NYG,2026-09-27 13:00:00,NYG,TEN,home,Jameis Winston,69.1,56.4,55.1,-2.5,
2026_03_TEN_NYG,2026-09-27 13:00:00,TEN,NYG,away,Cam Ward,30.9,43.6,44.9,2.5,
2026_03_ARI_SF,2026-09-27 16:05:00,SF,ARI,home,Brock Purdy,82.5,80.0,78.7,-8.5,
2026_03_ARI_SF,2026-09-27 16:05:00,ARI,SF,away,Jacoby Brissett,17.5,20.0,21.3,8.5,
2026_03_MIN_TB,2026-09-27 16:05:00,TB,MIN,home,Baker Mayfield,46.1,47.6,47.8,1.5,
2026_03_MIN_TB,2026-09-27 16:05:00,MIN,TB,away,Kyler Murray,53.9,52.4,52.2,-1.5,
2026_03_BAL_DAL,2026-09-27 16:25:00,DAL,BAL,home,Dak Prescott,44.2,39.8,40.0,3.5,
2026_03_BAL_DAL,2026-09-27 16:25:00,BAL,DAL,away,Lamar Jackson,55.8,60.2,60.0,-3.5,
2026_03_LV_NO,2026-09-27 16:25:00,NO,LV,home,Tyler Shough,61.9,62.8,62.2,-3.0,
2026_03_LV_NO,2026-09-27 16:25:00,LV,NO,away,Kirk Cousins,38.1,37.2,37.8,3.0,
2026_03_LA_DEN,2026-09-27 20:20:00,DEN,LA,home,Bo Nix,47.5,45.6,45.7,2.5,
2026_03_LA_DEN,2026-09-27 20:20:00,LA,DEN,away,Matthew Stafford,52.5,54.4,54.3,-2.5,
2026_03_PHI_CHI,2026-09-28 20:15:00,CHI,PHI,home,Caleb Williams,55.6,33.0,32.5,4.5,
2026_03_PHI_CHI,2026-09-28 20:15:00,PHI,CHI,away,Jalen Hurts,44.4,67.0,67.5,-4.5,
